transect_name,direction,dog_feces,garbage
Doug29,W,1,0
Doug29,E,0,0
Doug30,W,0,0
Doug30,E,0,2
Doug31,W,1,2
Doug31,E,0,0
Doug32,W,0,0
Doug32,E,1,1
Doug33,W,0,1
Doug33,E,0,0
