transect_name,direction,dog_feces,garbage
Doug1,W,0,3
Doug1,E,0,0
Doug2,W,0,0
Doug2,E,0,0
Doug3,W,0,0
Doug3,E,0,1
Doug4,W,2,0
Doug4,E,0,0
Doug5,W,0,0
Doug5,E,0,1
Doug6,W,0,2
Doug6,E,1,1
Doug7,W,0,0
Doug7,E,2,0
Doug8,W,0,1
Doug8,E,0,0
Doug9,W,0,2
Doug9,E,0,0
Doug10,W,1,0
Doug10,E,1,4
Doug11,W,0,1
Doug11,E,0,2
Doug12,W,0,2
Doug12,E,0,1
Doug13,W,1,1
Doug13,E,0,0
Doug14,W,1,1
Doug14,E,0,0
Doug15,W,0,0
Doug15,E,0,0
Doug16,W,0,0
Doug16,E,0,0
Doug17,W,0,1
Doug17,E,0,0
Doug18,W,2,6
Doug18,E,0,1
Doug19,W,0,2
Doug19,E,0,0
Doug20,W,6,3
Doug20,E,0,0
Doug21,W,0,6
Doug21,E,0,4
